pbs.norovirus.ir,tsb.norovirus.ir,fbs.norovirus.ir,astm.norovirus.ir
0.000628226,0.000435074,0.000361823,0.000462037
0.000625444,0.000141003,0.000121409,0.000145046
0.000882673,0.000235531,0.00074193,0.000448314
0.000494453,0.000228259,0.000377811,2.13E-06
0.000175823,0.000630866,0.000104508,0.001248078
0.000334824,0.00214385,0.000844463,0.001338311
0.000392072,3.28E-06,0.000203802,0.000656944
0.000333251,0.002410379,0.000325028,0.001079521
0.000257751,0.000155584,5.93E-05,0.002453698
0.000143098,0.000705823,0.00013164,0.001192985
0.000242379,0.000758363,0.001190007,0.000651103
0.000336027,0.001319378,0.001782779,0.003294051
0.000793752,0.001513447,0.000197424,0.000405206
0.000446959,0.000384161,0.001409048,0.000820701
0.001342861,0.000111195,0.000128307,0.000397122
0.000414716,0.000196332,0.000382629,0.000149413
0.000995789,0.000689364,0.000186365,0.000432659
0.000509753,6.27E-05,0.0001214,0.000181334
0.000291788,0.000190666,0.00116401,0.00027232
0.000128971,2.13E-05,0.000899613,0.000312785
0.000606538,0.001986301,2.25E-05,0.000185217
7.76E-05,0.001776858,0.000690281,0.000253025
6.93E-05,0.00035731,0.000115217,0.000186779
0.00056202,5.82E-07,5.88E-05,0.00019968
0.001326252,0.000294434,0.000159401,0.000562381
0.000275846,9.69E-05,0.000118571,0.002017178
0.000301108,3.74E-05,0.000746339,0.002325154
0.000855127,0.000299424,0.002318377,0.002283113
0.000419205,7.01E-05,0.000696225,0.000762878
4.76E-05,0.00020658,7.87E-05,0.001509211
0.000488455,0.000339069,0.000213337,0.004403274
4.27E-05,0.000598051,0.000656999,0.001377249
0.000369111,0.000796561,5.24E-05,0.00052339
0.000382144,0.00013843,1.10E-05,0.001425714
0.002815161,9.62E-07,0.000247652,0.00166105
5.91E-05,0.000332246,0.000702255,0.000368724
8.94E-05,0.004301412,0.000182565,0.000380138
0.000234038,0.000206913,0.000371211,0.001745729
0.00140824,4.49E-05,0.001230733,0.00095797
0.000340013,0.01308123,0.000279314,0.000812554
0.000206245,0.001097729,0.00019783,0.000926063
0.000152118,3.86E-05,0.000216537,0.001417176
0.003142075,0.000249102,0.000324204,0.00102489
0.00032177,0.001291349,0.000428127,0.000930293
7.16E-05,0.000471856,0.000362426,0.001336235
0.000364998,0.001269217,0.000320456,0.004028583
0.001003898,3.61E-06,0.001590298,0.000969892
0.000266173,0.000264976,8.76E-05,0.002209342
0.002586508,0.00043691,9.99E-05,0.000124108
0.000107552,0.000269184,4.91E-05,0.000283601
0.000319835,0.000111691,0.001601117,0.003471351
0.000403299,0.001903732,6.76E-06,0.002533307
0.001239007,3.21E-05,0.0001784,0.001350319
0.000283971,0.000692387,2.91E-05,0.001529015
0.000378998,5.74E-05,2.67E-06,0.011421372
0.001203875,0.001158552,0.00022382,0.006019576
0.000216187,0.00019576,5.77E-07,0.00062732
